Unnamed: 0,CustomerID,Churn,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,"Tenure_(0, 12)","Tenure_(12, 24)","Tenure_(24, 48)","Tenure_(48, 60)","Tenure_(60, 72)",PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
0,50001,1,3,6,3.0,3,2,9,1,11,1,1,5,159.93,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1,50002,1,1,8,3.0,4,3,7,1,15,0,1,0,120.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
2,50003,1,1,30,2.0,4,3,6,1,14,0,1,3,120.28,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3,50004,1,3,15,2.0,4,5,8,0,23,0,1,3,134.07,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
4,50005,1,1,12,2.390126246228049,3,5,3,0,11,1,1,3,129.6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,50006,1,1,22,3.0,5,5,2,1,22,4,6,7,139.19,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
6,50007,1,3,11,2.0,3,2,4,0,14,0,1,0,120.86,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
7,50008,1,1,6,3.0,3,2,3,1,16,2,2,0,122.93,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
8,50009,1,3,9,2.619615803835831,4,3,2,1,14,0,1,2,126.83,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
9,50010,1,1,31,2.0,5,3,2,0,12,1,1,1,122.93,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
10,50011,1,1,18,2.0,3,3,2,0,17,9,15,8,295.45,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
11,50012,1,1,6,3.0,4,3,10,1,13,0,1,0,153.81,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
12,50013,1,1,11,2.0,3,3,2,1,13,2,2,2,134.41,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13,50014,1,1,15,3.0,4,3,1,1,17,0,1,0,133.88,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
14,50015,1,3,15,3.0,4,2,2,0,16,0,4,7,196.19,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
15,50016,1,2,12,3.0,3,5,5,1,22,1,1,2,120.73,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
16,50017,1,1,12,2.5903143985719006,4,2,2,1,18,1,1,0,129.26,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
17,50018,1,3,11,2.0,4,3,2,1,11,1,1,3,157.44,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
18,50019,1,1,13,3.0,5,3,2,1,24,1,1,6,160.74,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
19,50020,1,1,20,3.0,3,4,10,1,18,1,4,3,149.63,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
20,50021,1,3,12,3.0,5,3,5,1,18,6,7,7,161.72,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
21,50022,1,1,29,3.0,3,2,2,0,12,11,15,6,203.12,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
22,50023,1,3,28,2.0,3,3,2,1,19,0,1,0,116.75,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
23,50024,1,3,26,3.0,5,3,4,1,11,1,2,2,145.59,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
