,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
CustomerID,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Churn,1.0,1.0,0.5872025181476713,0.0679777029184593,0.050150105517870656,0.12507413658324412,0.1056510526002395,0.040059247498279674,0.04012631901972176,0.16171954334717076,0.3120724943250793,0.08843471514117535,0.11005621461343891,0.10746057447321572,0.3817106489022515,0.10234663682858196,0.021535496736951303,0.09042830950701132,0.24678209203900994,0.21353327969363695
Tenure,1.0,0.5872025181476713,1.0,0.3592603015956781,0.12326983022650904,0.17119303091372445,0.20783729148779723,0.08808643246170346,0.11411726521836298,0.11457563939865648,0.5252821996848436,0.11794952251033314,0.19053454350127585,0.2904414671470707,0.12732914612384624,0.2769158678255471,0.15827335923456465,0.2956293899437551,0.23727893584195525,0.45642848773956235
PreferredLoginDevice,1.0,0.0679777029184593,0.3592603015956781,1.0,0.3098119084817475,0.4081843683454576,0.3212112768276788,0.0217370163238073,0.2995776102110422,0.3787400794927434,0.7380156608667805,0.056842991177010145,0.1159681797231416,0.30458200257801415,0.0,0.21769787330408602,0.2245950856251362,0.3810543343203013,0.2669654543632218,0.6815260202762881
CityTier,1.0,0.050150105517870656,0.12326983022650904,0.3098119084817475,1.0,0.140728759831956,0.5492430044367866,0.027483062621240208,0.0,0.023574407972642774,0.46374083122025384,0.07568314497699544,0.13913430014987432,0.06392744863300057,0.0,0.12988429319416817,0.0,0.05177823347209925,0.07534618938351774,0.2937855794594446
WarehouseToHome,1.0,0.12507413658324412,0.17119303091372445,0.4081843683454576,0.140728759831956,1.0,0.26818173519894195,0.044701840785420756,0.15639490667813646,0.15450978327480777,0.4370592423978386,0.0713674529665878,0.11243410741315547,0.15150423103978272,0.06861235782255767,0.1179054670790875,0.11772295439507913,0.18206316329438293,0.1386757734826323,0.5078477297027325
PreferredPaymentMode,1.0,0.1056510526002395,0.20783729148779723,0.3212112768276788,0.5492430044367866,0.26818173519894195,1.0,0.06487444765383941,0.09287788659066107,0.12701595503723287,0.4307852426965635,0.07498928028594179,0.04057568917948648,0.17834630815008193,0.0,0.11647897270291684,0.1415818802439396,0.23528654880145355,0.16242630405432734,0.4706512539700089
Gender,1.0,0.040059247498279674,0.08808643246170346,0.0217370163238073,0.027483062621240208,0.044701840785420756,0.06487444765383941,1.0,0.013349135203423299,0.009631756091366045,0.09581241004234237,0.02729782645813128,0.019872644884898732,0.0,0.05899152516669519,0.05366450233919573,0.03967223490391868,0.07022757375111977,0.06012229186521361,0.07394389528720077
HourSpendOnApp,1.0,0.04012631901972176,0.11411726521836298,0.2995776102110422,0.0,0.15639490667813646,0.09287788659066107,0.013349135203423299,1.0,0.5325383489615766,0.35737800214006826,0.0,0.05452898407310277,0.2968211149954333,0.0,0.24606927959286617,0.3515843332776799,0.4429477439009903,0.15779666417927332,0.32305901442875323
NumberOfDeviceRegistered,1.0,0.16171954334717076,0.11457563939865648,0.3787400794927434,0.023574407972642774,0.15450978327480777,0.12701595503723287,0.009631756091366045,0.5325383489615766,1.0,0.4115413382440893,0.0,0.08511111125216139,0.29403136863474644,0.0,0.2560419999644429,0.352249623505253,0.4556748971796182,0.21109293918385716,0.3603465952836901
